State,FIPS,County Name, Solar , Wind , Hydroelectric , Low-Impact Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other Generation, Traditional TDS , Storage , Smart Grid , Micro Grid , Other Grid Mod , Coal , Petroleum , Natural Gas , Woody Biomass , Corn Ethanol , Other Clean Fuels , Other Fuels, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation , Other Energy Efficiency, Motor Vehicles
GA,13277,Tift County,15,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,29,42,70,14,0,260
GA,13279,Toombs County,0,0,0,0,0,0,0,0,260,0,0,12,0,0,0,0,20,0,0,0,21,26,47,11,0,88
GA,13281,Towns County,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
GA,13283,Treutlen County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,18
GA,13285,Troup County,17,0,0,0,0,0,0,0,34,358,0,0,0,0,38,0,0,0,0,0,85,119,194,75,0,5651
GA,13287,Turner County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
GA,13289,Twiggs County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
GA,13291,Union County,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,0,0,120
GA,13293,Upson County,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,83
GA,13295,Walker County,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,651
GA,13297,Walton County,0,0,0,0,25,0,0,10,1323,0,19,70,42,0,25,0,0,51,0,0,69,110,185,79,0,1270
GA,13299,Ware County,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,19,0,0,0,16,20,38,14,0,179
GA,13301,Warren County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
GA,13303,Washington County,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,69
GA,13305,Wayne County,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,13,17,33,15,0,85
GA,13307,Webster County,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GA,13309,Wheeler County,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,7
GA,13311,White County,75,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,14,24,12,0,261
GA,13313,Whitfield County,1007,0,0,0,0,0,0,0,273,0,0,14,0,0,33,0,0,0,10,0,35,50,86,36,0,972
GA,13315,Wilcox County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GA,13317,Wilkes County,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,13,0,0,0,0,0,10,0,0,24
GA,13319,Wilkinson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,25
GA,13321,Worth County,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,34
GA,13999,N/A,14,23,63,21,120,0,0,40,714,0,17,80,48,0,173,36,21,16,33,26,291,538,616,230,22,998
